# bench/SylverMetalBench.jl -- sylvesterLM :array (5 CPU threads) vs :metal (M4 Max), Float32.
# `apply` rows: one apply, minimum over the repeats named in `note`, which also carries the
#   1-minute load average at measurement time.  THE BOX WAS SHARED: rows with loadavg >= 12 are
#   from a contended first pass and are up to 2.4x slow; the loadavg 6-7 rows are the ones to
#   read (and are the ones quoted in BOARD.md's sylver-metal entry).
# `e2e` rows: der(:SylverLining, Ω, ch, Γ; tol=1e-4, solver=:ArpackSolver); `applies` is the map
#   application count recovered from the progress tracker; `residual` is the Z-law residual.
# device_mb = Metal.device().currentAllocatedSize gained while the maps existed (0 or noise on CPU).
section,case,dims,valence,backend,what,seconds,bytes,applies,nullity,residual,device_mb,rss_mb,note
apply,100x100x100x3,100x100x100x3,4,array,ester,0.012811708,256,,,,0.0,936.3,min-of-12 loadavg=6.7
apply,100x100x100x3,100x100x100x3,4,array,sylve,0.013715708,704,,,,0.0,936.9,min-of-12 loadavg=6.7
apply,100x100x100x3,100x100x100x3,4,array,sylvester,0.0264275,512,,,,0.0,936.9,min-of-12 loadavg=6.7
apply,100x100x100x3,100x100x100x3,4,metal,ester,0.003077417,32688,,,,70.4,991.8,min-of-12 loadavg=6.3
apply,100x100x100x3,100x100x100x3,4,metal,sylve,0.003748541,27888,,,,70.4,991.8,min-of-12 loadavg=6.3
apply,100x100x100x3,100x100x100x3,4,metal,sylvester,0.004608542,57984,,,,70.4,991.8,min-of-12 loadavg=6.3
apply,200x200x100x3,200x200x100x3,4,array,ester,0.057916958,256,,,,-0.0,1565.9,min-of-12 loadavg=6.3
apply,200x200x100x3,200x200x100x3,4,array,sylve,0.062069208,704,,,,-0.0,1565.9,min-of-12 loadavg=6.2
apply,200x200x100x3,200x200x100x3,4,array,sylvester,0.118772583,512,,,,-0.0,1565.9,min-of-12 loadavg=6.2
apply,200x200x100x3,200x200x100x3,4,metal,ester,0.011972583,32704,,,,275.4,1660.1,min-of-12 loadavg=6.2
apply,200x200x100x3,200x200x100x3,4,metal,sylve,0.016672375,27600,,,,275.4,1660.1,min-of-12 loadavg=6.2
apply,200x200x100x3,200x200x100x3,4,metal,sylvester,0.019500208,57712,,,,275.4,1660.1,min-of-12 loadavg=6.2
apply,200^3,200x200x200,3,array,ester,0.033980625,192,,,,-6.0,1660.1,min-of-12 loadavg=6.2
apply,200^3,200x200x200,3,array,sylve,0.030379625,640,,,,-6.0,1660.1,min-of-12 loadavg=6.4
apply,200^3,200x200x200,3,array,sylvester,0.063354167,384,,,,-6.0,1660.1,min-of-12 loadavg=6.4
apply,200^3,200x200x200,3,metal,ester,0.006372042,21392,,,,153.6,1704.6,min-of-12 loadavg=6.4
apply,200^3,200x200x200,3,metal,sylve,0.004966833,18240,,,,153.6,1704.6,min-of-12 loadavg=6.4
apply,200^3,200x200x200,3,metal,sylvester,0.00615675,36656,,,,153.6,1704.6,min-of-12 loadavg=6.4
