d,valence,eltype,solve_tol,target,ops,method,solver,threads,heap_hint_gb,timeout_s,der_seconds,strat_seconds,total_seconds,bytes,nullity,residual,meets_target,lsq_err,support,perm_ok,dims,nnz,status
250,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,120.0,14.6643,0.1201,14.7844,6798004032,13,2.6594710789140663e-7,false,0.052591245765649657,0.9972341608927511,false,250 250 250,31375,ok
250,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,120.0,15.8109,0.1212,15.9321,6796396448,13,6.96486324613943e-7,false,0.08383841415904854,0.9929711203324346,false,250 250 250,31375,ok
250,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,120.0,15.6824,0.5013,16.1837,6795642784,13,3.4774151913552487e-7,false,0.0924217831310452,0.9914582140307131,false,250 250 250,31375,ok
250,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,120.0,16.4410,0.1265,16.5676,8686488048,13,5.064175070401689e-7,false,0.10034352864348271,0.9899311762911147,false,250 250 250,31375,ok
250,3,Float32,1e-08,1e-08,symmetric,CPU/Auto,none,16,40.0,120.0,15.9817,0.1822,16.1639,6931218928,3,3.361548351676902e-6,false,0.00012701742566619873,0.999999983901892,true,250 250 250,31375,ok
275,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,120.0,21.7340,0.1243,21.8583,8808495504,13,3.968008854826621e-7,false,0.07344556902185467,0.9946057484232229,false,275 275 275,37950,ok
275,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,120.0,22.9570,0.1052,23.0621,8906764784,13,2.614987408833258e-7,false,0.023948480289406424,0.9994264703168094,false,275 275 275,37950,ok
