# 5-thread timings (bench/jl now pins 5 Julia + 5 OpenBLAS threads, 10G heap hint, 16 GB RSS kill); may be noisy if another agent held a bench/jl slot concurrently
# 5-thread timings (bench/jl now pins 5 Julia + 5 OpenBLAS threads, 10G heap hint, 16 GB RSS kill); may be noisy if another agent held a bench/jl slot concurrently
case,label,solver,ncv,nv0,min_above,restricted_rows,restricted_cols,applies,seconds,solve_seconds,nullity,oracle_nullity,residual,certified,solver_status,nv_requests,status
sphere100,"sphere-v3-d100",ArpackSolver,64,0,0,missing,missing,18008,3.80193,NaN,0,3,NaN,missing,ok,"[16]","error: "
sphere100,"sphere-v3-d100",ArpackSolver,256,0,0,6859,5700,41260,9.39102,9.30746,3,3,3.96321e-11,true,ok,"[16, 32, 64]","ok"
sphere100,"sphere-v3-d100",ArpackSolver,0,32,0,6859,5700,29262,7.9767,7.89346,3,3,2.34844e-11,true,ok,"[32, 64]","ok"
sphere100,"sphere-v3-d100",ArpackSolver,0,0,4,6859,5700,36572,9.393,9.30716,3,3,2.34844e-11,true,ok,"[16, 32, 64]","ok"
sphere150,"sphere-v3-d150",ArpackSolver,0,0,0,12167,10350,30118,10.7392,10.4433,3,3,2.23503e-13,true,ok,"[16, 32]","ok"
sphere150,"sphere-v3-d150",KrylovSolver,0,0,0,12167,10350,198326,158.022,157.729,3,3,7.63146e-12,false,unconverged,"[4, 8, 16, 32, 64]","ok"
sphere150,"sphere-v3-d150",ArpackSolver,0,0,0,12167,10350,29968,10.3724,10.0824,3,3,2.23503e-13,true,ok,"[16, 32]","ok"
sphere150,"sphere-v3-d150",ArpackSolver,32,0,0,missing,missing,6870,2.17142,NaN,0,3,NaN,missing,ok,"Int64[]","error: "
sphere150,"sphere-v3-d150",ArpackSolver,64,0,0,missing,missing,26038,7.79352,NaN,0,3,NaN,missing,ok,"[16]","error: "
sphere150,"sphere-v3-d150",ArpackSolver,256,0,0,12167,10350,54370,20.6004,20.305,3,3,2.3261e-13,true,ok,"[16, 32, 64]","ok"
sphere150,"sphere-v3-d150",ArpackSolver,0,32,0,12167,10350,30288,14.2147,13.9246,3,3,3.41825e-13,true,ok,"[32, 64]","ok"
sphere150,"sphere-v3-d150",ArpackSolver,0,0,4,12167,10350,44086,18.2409,17.9507,3,3,3.41825e-13,true,ok,"[16, 32, 64]","ok"
sphere200,"sphere-v3-d200",ArpackSolver,0,0,0,17576,15600,35050,18.4194,17.8129,3,3,8.53452e-12,true,ok,"[16, 32]","ok"
sphere200,"sphere-v3-d200",KrylovSolver,0,0,0,17576,15600,209390,278.998,278.394,3,3,2.44418e-09,false,unconverged,"[4, 8, 16, 32, 64]","ok"
sphere200,"sphere-v3-d200",ArpackSolver,256,0,0,17576,15600,43778,26.3497,25.7024,3,3,8.53452e-12,true,ok,"[16, 32]","ok"
