case,truth,T,solver,mult,eigtol,seconds,nullity,certified,rule,gap,spec1,spec2,spec3,spec4,spec5
sphere3-d16,3,Float64,ArpackSolver,30.0,6.66e-15,0.03,3,true,gap,1.32e+12,1.11e-16,2.12e-16,4.26e-16,0.00147,0.00692
sphere3-d16,3,Float64,ArpackSolver,100.0,2.22e-14,0.03,3,true,gap,1.32e+12,1.63e-16,2.46e-16,7.03e-16,0.00147,0.00692
sphere3-d16,3,Float64,KrylovSolver,1.0,2.22e-16,0.16,3,true,gap,1.32e+12,3.93e-17,1.31e-16,2.4e-16,0.00147,0.00692
sphere3-d16,3,Float64,KrylovSolver,3.0,6.66e-16,0.15,3,true,gap,1.32e+12,7.08e-17,1.29e-16,1.79e-16,0.00147,0.00692
sphere3-d16,3,Float64,KrylovSolver,10.0,2.22e-15,0.16,3,true,gap,1.32e+12,4.61e-17,5.09e-17,1.44e-16,0.00147,0.00692
sphere3-d16,3,Float64,KrylovSolver,30.0,6.66e-15,0.16,3,true,gap,1.32e+12,3e-17,1.05e-16,1.74e-16,0.00147,0.00692
sphere3-d16,3,Float64,KrylovSolver,100.0,2.22e-14,0.15,3,true,gap,1.32e+12,9.66e-18,1.45e-16,2.35e-16,0.00147,0.00692
sphere3-d16,3,Float32,ArpackSolver,1.0,1.19e-07,0.02,3,true,gap,2464,4.45e-10,3.39e-08,1.94e-07,0.00147,0.00694
sphere3-d16,3,Float32,ArpackSolver,3.0,3.58e-07,0.02,3,true,gap,2464,3.62e-08,7.1e-08,2.85e-07,0.00147,0.00694
sphere3-d16,3,Float32,ArpackSolver,10.0,1.19e-06,0.02,3,true,gap,2464,2.22e-08,6.27e-08,8.46e-08,0.00147,0.00694
sphere3-d16,3,Float32,ArpackSolver,30.0,3.58e-06,0.02,3,true,gap,2464,1.06e-08,3.84e-08,1.18e-07,0.00147,0.00694
sphere3-d16,3,Float32,ArpackSolver,100.0,1.19e-05,0.02,3,true,gap,2464,8.08e-09,1.31e-07,2.19e-07,0.00147,0.00694
sphere3-d16,3,Float32,KrylovSolver,1.0,1.19e-07,0.07,3,true,gap,2464,1.02e-08,1.04e-08,8.5e-08,0.00147,0.00694
sphere3-d16,3,Float32,KrylovSolver,3.0,3.58e-07,0.06,3,true,gap,2464,3.78e-08,1.02e-07,1.24e-07,0.00147,0.00694
sphere3-d16,3,Float32,KrylovSolver,10.0,1.19e-06,0.05,3,true,gap,2465,6.33e-09,1.14e-08,5.65e-08,0.00147,0.00694
sphere3-d16,3,Float32,KrylovSolver,30.0,3.58e-06,0.05,3,true,gap,2465,2.32e-08,4.48e-08,6.25e-08,0.00147,0.00694
sphere3-d16,3,Float32,KrylovSolver,100.0,1.19e-05,0.05,3,true,gap,2464,3.99e-08,4.91e-08,5.83e-08,0.00147,0.00694
sphere3-d16,3,Float16,ArpackSolver,1.0,1.19e-07,0.02,3,true,gap,2464,7.57e-08,9.89e-08,2.01e-07,0.00147,0.00693
sphere3-d16,3,Float16,ArpackSolver,3.0,3.58e-07,0.02,3,true,gap,2464,7.35e-08,7.84e-08,1.59e-07,0.00147,0.00693
sphere3-d16,3,Float16,ArpackSolver,10.0,1.19e-06,0.02,3,true,gap,2464,8.47e-08,1.19e-07,1.63e-07,0.00147,0.00693
sphere3-d16,3,Float16,ArpackSolver,30.0,3.58e-06,0.02,3,true,gap,2464,2.58e-08,6.31e-08,1.27e-07,0.00147,0.00693
sphere3-d16,3,Float16,ArpackSolver,100.0,1.19e-05,0.02,3,true,gap,2464,6.51e-08,1.71e-07,3.55e-07,0.00147,0.00693
sphere3-d16,3,Float16,KrylovSolver,1.0,1.19e-07,0.06,3,true,gap,2464,1.04e-08,7.19e-08,1.18e-07,0.00147,0.00693
sphere3-d16,3,Float16,KrylovSolver,3.0,3.58e-07,0.07,3,true,gap,2464,1.08e-08,1.59e-08,6.19e-08,0.00147,0.00693
sphere3-d16,3,Float16,KrylovSolver,10.0,1.19e-06,0.06,3,true,gap,2464,1.75e-08,2.39e-08,7.63e-08,0.00147,0.00693
sphere3-d16,3,Float16,KrylovSolver,30.0,3.58e-06,0.05,3,true,gap,2464,2.51e-08,4.22e-08,1.64e-07,0.00147,0.00693
sphere3-d16,3,Float16,KrylovSolver,100.0,1.19e-05,0.04,3,true,gap,2464,4.63e-08,6.88e-08,1.17e-07,0.00147,0.00693
sphere4-d6,4,Float64,ArpackSolver,1.0,2.22e-16,0.78,4,true,gap,1.349e+12,1.23e-31,5.86e-20,5.43e-17,5.48e-17,0.0015
sphere4-d6,4,Float64,ArpackSolver,3.0,6.66e-16,0.00,4,true,gap,1.349e+12,1.43e-31,2.21e-18,1.71e-17,3.93e-16,0.0015
sphere4-d6,4,Float64,ArpackSolver,10.0,2.22e-15,0.00,4,true,gap,1.349e+12,1.01e-31,3.36e-18,2.7e-17,2.82e-16,0.0015
sphere4-d6,4,Float64,ArpackSolver,30.0,6.66e-15,0.00,4,true,gap,1.349e+12,6.54e-32,3.8e-18,6.32e-18,3.71e-16,0.0015
sphere4-d6,4,Float64,ArpackSolver,100.0,2.22e-14,0.00,4,true,gap,1.349e+12,6.69e-31,1.45e-18,6.62e-17,2.19e-16,0.0015
sphere4-d6,4,Float64,KrylovSolver,1.0,2.22e-16,0.00,-1,throw,ArgumentError: blocklength must be >(0),,,,,,
sphere4-d6,4,Float64,KrylovSolver,3.0,6.66e-16,0.03,4,true,gap,1.349e+12,3.23e-17,3.96e-17,4.49e-17,8.69e-17,0.0015
sphere4-d6,4,Float64,KrylovSolver,10.0,2.22e-15,0.02,4,true,gap,1.349e+12,4e-17,5.45e-17,5.46e-17,9.17e-17,0.0015
sphere4-d6,4,Float64,KrylovSolver,30.0,6.66e-15,0.02,4,true,gap,1.349e+12,4.08e-18,5.51e-18,3.04e-17,4.41e-17,0.0015
