dim,seed,noise,tol,method,actual_method,solver,actual_report_solver,nd,sampling,amplitudes,gram_precision,dense_solver,cutoff,nondeg_tol,active_dims,orthogonality_error,signal_residual,seconds,bytes,nullity,solver_nullity,scalar_dim,class,lsq_err,support,perm_ok,full_residual,full_residual_status,status
6,50,0,Inf,SymmetricGram,SymmetricGram,AutoSolver,DenseEigen,3,densor,gaussian,full,auto,1.5,1e-10,"6x6x6",4.3342152555992462e-16,0,1.814417,171245840,3,3,2,recovery,1.511589895094332e-13,1.0000000000000002,true,1.4549787880453696e-15,"ok","ok"
50,50,0,Inf,SymmetricGram,SymmetricGram,AutoSolver,DenseEigen,3,densor,gaussian,full,auto,1.5,1e-10,"50x50x50",3.9127798232668983e-15,0,91.666154,1136668992,3,3,2,recovery,2.8830645879452539e-13,1.0000000000000011,true,7.0619468469888331e-14,"ok","ok"
