d,solver,seconds,bytes,peak_rss_gb,nullity,lsq_err,support,perm_ok,status
35,ShiftInvertSolver,33.021112,118609939016,1.2724,0,NaN,NaN,-,"error: no nontrivial derivations"
35,ArpackSolver,0.648225,2452217688,1.2724,3,3.348299e-14,1.000000,yes,"ok"
35,ArpackDenseSolver,2.620863,9183202192,1.2724,3,1.684484e-14,1.000000,yes,"ok"
40,AutoSolver,6.902904,17744481760,1.4563,3,1.058681e-13,1.000000,yes,"ok"
40,SVDSolver,7.096970,17744481360,1.4629,3,5.803565e-14,1.000000,yes,"ok"
40,LUSolver,4.605011,17695622384,1.4629,1,1.678848e-01,0.971837,yes,"ok"
40,LSMRSolver,221.328176,675793508448,1.4629,3,5.133776e-14,1.000000,yes,"ok"
40,KrylovSolver,0.909358,3563536728,1.4629,3,2.522545e-13,1.000000,yes,"ok"
40,LanczosSolver,0.472575,2118648112,1.4629,0,NaN,NaN,-,"error: no nontrivial derivations"
40,CGSolver,16.473002,58525020064,1.4629,3,4.116026e-11,1.000000,yes,"ok"
40,ShiftInvertSolver,56.988941,175712371960,1.4629,0,NaN,NaN,-,"error: no nontrivial derivations"
40,ArpackSolver,1.583233,4404383896,1.4629,3,2.348238e-14,1.000000,yes,"ok"
40,ArpackDenseSolver,6.570186,17555115168,1.4629,3,4.586555e-14,1.000000,yes,"ok"
45,AutoSolver,12.960520,30647416712,1.6796,3,8.216432e-14,1.000000,yes,"ok"
45,SVDSolver,12.490239,30647416312,1.6904,3,1.238665e-12,1.000000,yes,"ok"
45,LUSolver,7.460068,30569795336,1.6905,1,1.394651e-01,0.980561,no,"ok"
