operation,category,n,trial,seconds,dim,residual_max,residual_median,conditioning,status
stratify,QuickSylver-lift  [1,-1,0],6,1,0.000494333,3,Inf,Inf,30.300497540157682,ok
der,SylverLining/SVD  [1,1,1],6,2,0.004789792,12,8.188919937746559e-14,3.1499374131620316e-14,NaN,ok
den,SylverLining/SVD  [1,1,1],6,2,0.096177792,6,4.684595999884569e-12,5.563727694846252e-13,NaN,ok
stratify,SylverLining/SVD  [1,1,1],6,2,0.005163917,3,Inf,Inf,96.86958646924528,ok
der,QuickDer-lift     [1,1,1],6,2,0.003037959,12,7.838861696078992e-16,3.373273627346663e-16,NaN,ok
den,QuickDer-lift     [1,1,1],6,2,0.0945145,6,4.5804656963790125e-15,1.2428458937936337e-15,NaN,ok
stratify,QuickDer-lift     [1,1,1],6,2,0.00317575,3,Inf,Inf,96.86958643147761,ok
der,SylverLining/SVD  [1,-1,0],6,2,0.002330792,6,3.924159500066033e-14,2.8779565151286186e-14,NaN,ok
den,SylverLining/SVD  [1,-1,0],6,2,0.044071167,36,8.693816525022443e-13,5.2093777978744986e-14,NaN,ok
stratify,SylverLining/SVD  [1,-1,0],6,2,0.002525084,3,Inf,Inf,96.8695864312175,ok
der,QuickSylver-lift  [1,-1,0],6,2,0.000338791,6,5.086570264334941e-16,3.0200331316269273e-16,NaN,ok
den,QuickSylver-lift  [1,-1,0],6,2,0.041269875,36,1.1981493488704893e-15,6.508844996030462e-16,NaN,ok
stratify,QuickSylver-lift  [1,-1,0],6,2,0.00050725,3,Inf,Inf,96.86958643123593,ok
der,SylverLining/SVD  [1,1,1],6,3,0.00509275,12,2.8751270805331503e-13,1.3283661322921121e-13,NaN,ok
den,SylverLining/SVD  [1,1,1],6,3,0.094149583,6,4.0140550254758824e-11,1.0248570036350674e-11,NaN,ok
stratify,SylverLining/SVD  [1,1,1],6,3,0.005204917,3,Inf,Inf,685.971844014074,ok
der,QuickDer-lift     [1,1,1],6,3,0.003108417,12,4.818320992547625e-16,3.262261212943214e-16,NaN,ok
den,QuickDer-lift     [1,1,1],6,3,0.096361209,6,9.522680376344326e-15,2.7632233692384177e-15,NaN,ok
stratify,QuickDer-lift     [1,1,1],6,3,0.003132042,3,Inf,Inf,685.9718438575931,ok
der,SylverLining/SVD  [1,-1,0],6,3,0.002418917,6,6.174996054927498e-14,1.2002213611676055e-14,NaN,ok
den,SylverLining/SVD  [1,-1,0],6,3,0.043984708,36,5.334873957754012e-13,1.997979393004073e-14,NaN,ok
stratify,SylverLining/SVD  [1,-1,0],6,3,0.002592083,3,Inf,Inf,685.9718446607475,ok
der,QuickSylver-lift  [1,-1,0],6,3,0.000347083,6,2.9275029882844664e-15,2.9026767478718367e-16,NaN,ok
den,QuickSylver-lift  [1,-1,0],6,3,0.04210675,36,3.0832078974665466e-15,4.865296966504747e-16,NaN,ok
stratify,QuickSylver-lift  [1,-1,0],6,3,0.000516875,3,Inf,Inf,685.9718438326145,ok
der,SylverLining/SVD  [1,1,1],8,1,0.029124,16,7.071716138028541e-15,4.944035211592521e-15,NaN,ok
den,SylverLining/SVD  [1,1,1],8,1,0.399425792,8,4.079553558776046e-14,1.1921156652242086e-14,NaN,ok
stratify,SylverLining/SVD  [1,1,1],8,1,0.011130875,3,Inf,Inf,23.930429985029598,ok
der,QuickDer-lift     [1,1,1],8,1,0.003351209,16,1.3706629033764974e-15,3.7911510792431934e-16,NaN,ok
den,QuickDer-lift     [1,1,1],8,1,0.386120333,8,2.2586266623235712e-15,1.3415494521519372e-15,NaN,ok
stratify,QuickDer-lift     [1,1,1],8,1,0.006153042,3,Inf,Inf,23.930429985030333,ok
der,SylverLining/SVD  [1,-1,0],8,1,0.005541208,8,3.411696769202524e-15,2.8787800243341073e-15,NaN,ok
den,SylverLining/SVD  [1,-1,0],8,1,0.23139,64,1.9442139055613845e-14,3.2031493926673246e-15,NaN,ok
stratify,SylverLining/SVD  [1,-1,0],8,1,0.005764458,3,Inf,Inf,23.930429985035687,ok
der,QuickSylver-lift  [1,-1,0],8,1,0.027920583,8,2.993358190797405e-16,2.586084286242773e-16,NaN,ok
den,QuickSylver-lift  [1,-1,0],8,1,0.223949041,64,1.0191011918519605e-15,5.829810755919931e-16,NaN,ok
stratify,QuickSylver-lift  [1,-1,0],8,1,0.000766666,3,Inf,Inf,23.930429985028844,ok
der,SylverLining/SVD  [1,1,1],8,2,0.010977167,16,2.945243818238205e-15,1.8356905503054114e-15,NaN,ok
den,SylverLining/SVD  [1,1,1],8,2,0.381112875,8,7.113622362945509e-15,3.202586187195502e-15,NaN,ok
stratify,SylverLining/SVD  [1,1,1],8,2,0.013184542,3,Inf,Inf,19.05183996873471,ok
der,QuickDer-lift     [1,1,1],8,2,0.003412041,16,6.536442661716322e-16,4.991348991776743e-16,NaN,ok
den,QuickDer-lift     [1,1,1],8,2,0.387796458,8,1.7988211350830486e-15,1.3944163638852119e-15,NaN,ok
stratify,QuickDer-lift     [1,1,1],8,2,0.00353225,3,Inf,Inf,19.051839968734267,ok
der,SylverLining/SVD  [1,-1,0],8,2,0.005562416,8,3.2918266362940272e-15,2.1515488730825547e-15,NaN,ok
den,SylverLining/SVD  [1,-1,0],8,2,0.225766834,64,6.106652716379782e-15,1.6809169559079565e-15,NaN,ok
stratify,SylverLining/SVD  [1,-1,0],8,2,0.006540292,3,Inf,Inf,19.05183996874159,ok
der,QuickSylver-lift  [1,-1,0],8,2,0.000566708,8,7.598497337274893e-16,3.397744424403743e-16,NaN,ok
den,QuickSylver-lift  [1,-1,0],8,2,0.223267333,64,1.0065360550666253e-15,4.920404135469106e-16,NaN,ok
stratify,QuickSylver-lift  [1,-1,0],8,2,0.000699458,3,Inf,Inf,19.05183996873466,ok
der,SylverLining/SVD  [1,1,1],8,3,0.011248625,16,4.293201667605162e-15,2.599996236937063e-15,NaN,ok
den,SylverLining/SVD  [1,1,1],8,3,0.387803625,8,2.1096463108131956e-14,4.21814098569663e-15,NaN,ok
stratify,SylverLining/SVD  [1,1,1],8,3,0.011387959,3,Inf,Inf,21.832461883497476,ok
der,QuickDer-lift     [1,1,1],8,3,0.003408458,16,6.79067216822767e-16,4.871730247382247e-16,NaN,ok
den,QuickDer-lift     [1,1,1],8,3,0.385352375,8,1.6118049386292323e-15,1.33996458554407e-15,NaN,ok
stratify,QuickDer-lift     [1,1,1],8,3,0.003453208,3,Inf,Inf,21.83246188350025,ok
der,SylverLining/SVD  [1,-1,0],8,3,0.005414584,8,2.4076104239536423e-15,1.666631645848934e-15,NaN,ok
den,SylverLining/SVD  [1,-1,0],8,3,0.224708958,64,6.550956079666356e-15,1.5861884558732218e-15,NaN,ok
stratify,SylverLining/SVD  [1,-1,0],8,3,0.005750875,3,Inf,Inf,21.832461883503157,ok
der,QuickSylver-lift  [1,-1,0],8,3,0.000569584,8,6.677432071284848e-16,2.8306691781794673e-16,NaN,ok
den,QuickSylver-lift  [1,-1,0],8,3,0.226227458,64,1.7469906680594214e-15,5.40265418815939e-16,NaN,ok
stratify,QuickSylver-lift  [1,-1,0],8,3,0.000716833,3,Inf,Inf,21.832461883500102,ok
der,SylverLining/SVD  [1,1,1],10,1,0.043899791,20,2.3922578308610496e-14,1.0609423319005014e-14,NaN,ok
den,SylverLining/SVD  [1,1,1],10,1,1.384487542,10,6.218538287894671e-14,1.7365940161100794e-14,NaN,ok
stratify,SylverLining/SVD  [1,1,1],10,1,0.023022541,3,Inf,Inf,796.9043596030739,ok
der,QuickDer-lift     [1,1,1],10,1,0.044085334,20,8.845301344327095e-16,2.514029399234055e-16,NaN,ok
den,QuickDer-lift     [1,1,1],10,1,1.34736025,10,2.787544379946134e-15,8.62259566825334e-16,NaN,ok
stratify,QuickDer-lift     [1,1,1],10,1,0.009072,3,Inf,Inf,796.9043573268898,ok
der,SylverLining/SVD  [1,-1,0],10,1,0.026948667,10,7.237160104857826e-14,2.2522594095277492e-14,NaN,ok
den,SylverLining/SVD  [1,-1,0],10,1,0.814058458,100,2.482270987208232e-13,8.258340059661779e-15,NaN,ok
stratify,SylverLining/SVD  [1,-1,0],10,1,0.014787917,3,Inf,Inf,796.9043499162966,ok
der,QuickSylver-lift  [1,-1,0],10,1,0.030589791,10,3.031038511179853e-16,1.7085227625437933e-16,NaN,ok
den,QuickSylver-lift  [1,-1,0],10,1,0.8059025,100,4.501889228642795e-16,2.8160272559891536e-16,NaN,ok
stratify,QuickSylver-lift  [1,-1,0],10,1,0.002674167,3,Inf,Inf,796.9043573289006,ok
der,SylverLining/SVD  [1,1,1],10,2,0.02289175,20,8.428610742937508e-15,4.9864762834371904e-15,NaN,ok
den,SylverLining/SVD  [1,1,1],10,2,1.353127208,10,1.1053656735353158e-13,1.590503311978535e-14,NaN,ok
stratify,SylverLining/SVD  [1,1,1],10,2,0.022603083,3,Inf,Inf,27.276176819102666,ok
der,QuickDer-lift     [1,1,1],10,2,0.007622875,20,1.0492947681227823e-15,7.303290925828009e-16,NaN,ok
den,QuickDer-lift     [1,1,1],10,2,1.341328333,10,4.231829826100812e-15,1.764235877697435e-15,NaN,ok
stratify,QuickDer-lift     [1,1,1],10,2,0.007846666,3,Inf,Inf,27.276176819093305,ok
der,SylverLining/SVD  [1,-1,0],10,2,0.011009666,10,7.99403434516994e-15,5.284178458637327e-15,NaN,ok
den,SylverLining/SVD  [1,-1,0],10,2,0.801817833,100,5.306523739206342e-14,4.156070249097297e-15,NaN,ok
stratify,SylverLining/SVD  [1,-1,0],10,2,0.014909625,3,Inf,Inf,27.27617681909133,ok
der,QuickSylver-lift  [1,-1,0],10,2,0.000844875,10,5.939088726088473e-16,2.4869083437003363e-16,NaN,ok
den,QuickSylver-lift  [1,-1,0],10,2,0.797042542,100,1.2320493964341833e-15,6.121605886054447e-16,NaN,ok
stratify,QuickSylver-lift  [1,-1,0],10,2,0.001889417,3,Inf,Inf,27.27617681909467,ok
der,SylverLining/SVD  [1,1,1],10,3,0.022645708,20,7.631099630485535e-15,5.051962357401283e-15,NaN,ok
den,SylverLining/SVD  [1,1,1],10,3,1.369836542,10,1.0823099175807135e-13,1.9177503354902903e-14,NaN,ok
stratify,SylverLining/SVD  [1,1,1],10,3,0.022725708,3,Inf,Inf,30.95522835447054,ok
der,QuickDer-lift     [1,1,1],10,3,0.007678458,20,1.22246397244583e-15,3.750199711954418e-16,NaN,ok
den,QuickDer-lift     [1,1,1],10,3,1.363504833,10,2.646360231817509e-15,1.7428995192614829e-15,NaN,ok
stratify,QuickDer-lift     [1,1,1],10,3,0.007671208,3,Inf,Inf,30.95522835446108,ok
der,SylverLining/SVD  [1,-1,0],10,3,0.01100125,10,6.597675529954604e-15,4.654504778492036e-15,NaN,ok
den,SylverLining/SVD  [1,-1,0],10,3,0.816424167,100,7.572629753992922e-14,7.789599572057927e-15,NaN,ok
stratify,SylverLining/SVD  [1,-1,0],10,3,0.012225834,3,Inf,Inf,30.955228354457503,ok
der,QuickSylver-lift  [1,-1,0],10,3,0.000853666,10,4.997468977716974e-16,2.2863996221613216e-16,NaN,ok
den,QuickSylver-lift  [1,-1,0],10,3,0.803036292,100,1.0342896723472733e-15,5.766072289079214e-16,NaN,ok
stratify,QuickSylver-lift  [1,-1,0],10,3,0.001017291,3,Inf,Inf,30.955228354461664,ok
