family,case,dims,valence,expected_final,T,seed,config,solver,restricted_nullity,final_nullity,certified,status,undecidable,near_null,rule,gap,selected,next_value,max_zlaw_resid,seconds,notes
sphere,sphere3-64,64x64x64,3,3,Float32,20260904,mf-arpack,ArpackSolver,14,3,false,ok,0,0,threshold,25.2445,1.997e-8;2.683e-8;6.04e-8;6.136e-8;7.779e-8;8.151e-8;1.005e-7;2.12e-7;2.41e-7;2.671e-7;3.224e-7;3.342e-7;3.475e-7;3.854e-7,2.4075e-05,5.1932e-05,9.121018,
sphere,sphere3-64,64x64x64,3,3,Float32,20260905,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,9.62891,6.964e-10;4.264e-8;4.866e-8;5.465e-8;1.382e-7;1.462e-7;1.814e-7;1.894e-7;1.955e-7;2.014e-7;2.143e-7;2.672e-7;2.927e-7,9.18285e-06,0.0001424,8.198339,
sphere,sphere3-64,64x64x64,3,3,Float32,20260906,mf-arpack,ArpackSolver,13,2,false,ok,0,0,threshold,2.31245,5.405e-9;1.402e-8;1.981e-8;2.921e-8;3.706e-8;4.4e-8;9.3e-8;1.115e-7;1.348e-7;1.511e-7;1.513e-7;2.376e-7;2.914e-7,2.20532e-06,0.000353922,5.931281,
sphere,sphere3-140,140x140x140,3,3,Float16,20260908,default,GramSolver,24,3,false,ok,0,0,threshold,1.06579,4.219e-7;6.357e-7;8.064e-5;0.0003999;0.0004571;0.0005758;0.0007463;0.0008616;0.0009525;0.001139;0.001565;0.00168;0.002134;0.01017;0.01367;0.01663;0.01869;0.02106;0.0247;0.02553;0.02681;0.02971;0.02988;0.03047,0.0324707,0.000496786,21.379732,
sphere,sphere3-64,64x64x64,3,3,Float32,20260907,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,15.1115,3.149e-8;3.341e-8;3.402e-8;4.05e-8;4.11e-8;6.76e-8;8.836e-8;1.518e-7;1.859e-7;2.643e-7;2.761e-7;2.877e-7;2.909e-7,1.44114e-05,0.00042672,5.390364,
sphere,sphere3-64,64x64x64,3,3,Float32,20260908,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,16.0001,4.636e-8;6.38e-8;8.903e-8;9.944e-8;1.049e-7;1.32e-7;1.521e-7;1.766e-7;1.934e-7;3.991e-7;4.732e-7;4.855e-7;5.504e-7,1.52589e-05,0.00375685,8.551484,
sphere,sphere3-140,140x140x140,3,3,Float16,20260909,default,GramSolver,30,3,false,ok,0,0,threshold,1.0411,4.425e-7;6.604e-7;8.77e-5;0.0002128;0.0002579;0.0003156;0.0003507;0.0005338;0.0005699;0.0006224;0.001662;0.002389;0.002724;0.003162;0.006232;0.009704;0.01263;0.01367;0.01799;0.01927;0.02287;0.02379;0.02444;0.02544;0.02578;0.02751;0.02831;0.03029;0.03071;0.03097,0.0322466,0.00062504,21.903676,
sphere,sphere3-64,64x64x64,3,3,Float32,20260909,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,58.2536,6.291e-10;4.612e-8;5.096e-8;7.607e-8;1.03e-7;1.068e-7;1.097e-7;1.908e-7;2.945e-7;3.824e-7;4.062e-7;4.173e-7;4.303e-7,5.55549e-05,0.00044963,9.975104,
sphere,sphere4-24,24x24x24x24,4,4,Float64,20260904,default,SVDSolver,13,4,true,ok,0,0,gap,7.01709e+11,3.299e-16;3.366e-16;4.204e-16;7.827e-16;1.617e-15;2.131e-15;2.441e-15;3.295e-15;3.437e-15;3.865e-15;4.611e-15;1.16e-14;2.236e-14,0.0156891,1.07884e-14,4.145401,
sphere,sphere4-24,24x24x24x24,4,4,Float64,20260905,default,SVDSolver,13,4,true,ok,0,0,gap,6.56401e+12,2.896e-16;3.38e-16;4.702e-16;5.5e-16;9.911e-16;1.1e-15;1.294e-15;1.368e-15;1.565e-15;1.861e-15;1.968e-15;2.164e-15;3.06e-15,0.0200887,5.33488e-15,0.262160,
